id,host_id,host_name,latitude,longitude,room_type,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,price
17617905,13561853,Olivera,40.74176,-73.92399999999999,Entire home/apt,30,6,2018-09-08,0.22,1,45,75
30251760,29688249,Habibi,40.82582,-73.94275999999999,Private room,1,6,2019-06-23,1.94,1,180,82
33242964,248961864,Lily,40.71309,-73.99625999999999,Private room,1,14,2019-06-16,3.93,3,332,85
2459916,12577771,Victor,40.689479999999996,-73.93528,Private room,1,0,,,1,0,18
6238281,32374510,Shannon,40.76497,-73.9933,Entire home/apt,1,0,,,1,0,175
30535813,98260543,Ley,40.76981,-73.95365,Private room,1,11,2019-06-28,1.75,3,330,135
6627752,25599307,Julia,40.63915,-73.95451,Entire home/apt,6,33,2017-05-31,0.69,1,0,90
8532128,44923714,Carolyn,40.7818,-73.95121999999999,Entire home/apt,1,0,,,1,0,120
21618022,129627879,Megan,40.702529999999996,-73.92362,Private room,2,1,2017-11-25,0.05,1,0,44
1678809,8619985,Mel,40.69143,-73.93933,Entire home/apt,2,14,2019-06-25,4.62,1,50,96
33708600,219517861,Sonder (NYC),40.76008,-73.98721,Entire home/apt,29,0,,,327,365,227
20173308,62843071,Kevin And Kitty,40.696059999999996,-73.85226,Private room,1,86,2019-07-07,3.68,4,248,55
30398902,14501006,Ryan,40.76007,-73.98965,Entire home/apt,2,0,,,1,0,430
14547628,8946866,Megan,40.735459999999996,-74.00263000000001,Shared room,1,37,2017-11-05,1.05,1,0,80
3582816,3771272,Smith O'Brien,40.68652,-73.95031,Entire home/apt,2,60,2019-06-30,1.0,1,156,120
21594091,157056254,Rae,40.70312,-73.91933,Private room,7,0,,,1,0,45
385657,1930204,Sophia,40.704,-73.93285,Private room,5,2,2015-05-15,0.02,1,0,70
17880254,9808458,Zain,40.8709,-73.89945999999999,Shared room,2,11,2019-01-01,0.52,4,365,60
31409154,198195140,Lucy,40.74755,-73.93878000000001,Private room,1,11,2019-06-02,2.92,2,7,55
10709846,7822683,,40.73539,-73.95838,Private room,10,2,2016-11-05,0.05,1,0,55
4482158,23256032,Katharine,40.66767,-73.9828,Entire home/apt,14,1,2015-01-04,0.02,1,36,160
30071972,192181166,Elisa,40.70685,-73.94230999999999,Private room,150,2,2019-01-13,0.32,2,0,60
13477234,49939937,Julie,40.7531,-73.97158,Entire home/apt,4,1,2016-07-06,0.03,1,0,101
3767267,3231109,Trish,40.81065,-73.96311999999999,Private room,2,52,2019-06-05,0.91,2,329,85
3468942,17477908,Mat,40.792190000000005,-73.96862,Entire home/apt,30,11,2019-04-24,0.19,10,365,199
20773084,128692351,Nahuel,40.841840000000005,-73.92535,Private room,2,92,2019-05-19,4.11,5,311,42
6291371,31675601,Sophie,40.62449,-74.02977,Private room,30,57,2019-05-02,1.13,4,307,65
25215973,21550529,Ella,40.6993,-73.90825,Private room,5,0,,,1,0,75
11721727,62335395,Franchesca,40.85029,-73.93645,Shared room,1,0,,,1,0,360
32238933,18874653,Elsa,40.69344,-73.9652,Entire home/apt,4,5,2019-06-30,1.19,1,40,175
4530085,2277244,Victoria,40.729490000000006,-73.97894000000001,Entire home/apt,1,2,2016-05-28,0.05,1,0,180
16436865,91299100,Christopher,40.77406,-73.98252,Entire home/apt,3,2,2017-04-24,0.07,2,0,150
26574893,199833548,Syeda,40.741659999999996,-73.92658,Private room,1,50,2019-06-23,4.25,9,339,70
30767017,230192510,Zach,40.696909999999995,-73.97376,Private room,30,1,2019-02-14,0.21,25,220,48
22176678,110142237,Eric,40.80487,-73.95752,Entire home/apt,3,32,2019-07-02,1.69,1,1,90
7241020,6697833,John And Laurie,40.85487,-73.93777,Entire home/apt,7,2,2015-10-29,0.04,1,0,115
9728168,5124437,Anna,40.761720000000004,-73.99916999999999,Entire home/apt,3,4,2015-12-15,0.09,1,0,189
12508552,7475578,MaTT,40.719409999999996,-73.99706,Private room,5,26,2019-05-06,0.67,2,160,85
4616700,1403669,Simone,40.68547,-73.96885999999999,Entire home/apt,4,20,2018-09-05,0.39,1,208,180
31053525,34124858,Ana,40.69975,-73.93865,Private room,5,0,,,1,0,60
12383041,17001409,Caitlin,40.69443,-73.94315999999999,Private room,1,5,2016-06-07,0.13,1,0,40
8609130,2520559,Victoria,40.72214,-73.99793000000001,Entire home/apt,2,89,2019-06-02,1.94,1,55,150
28216267,11543355,Matthew,40.76202,-73.99679,Entire home/apt,4,0,,,1,0,250
29158199,92706260,Kane,40.76126,-73.81443,Private room,1,58,2019-06-20,6.42,5,75,45
3697432,18836774,Jime,40.775420000000004,-73.95437,Private room,4,48,2019-01-19,0.8,5,153,73
19284144,19893801,Jimmy,40.6526,-73.97366,Entire home/apt,1,5,2017-07-01,0.2,1,0,77
4479632,20431437,Richard,40.72736,-74.00192,Entire home/apt,30,159,2019-06-12,2.83,1,129,495
6835487,2947857,Jocelyn,40.71966,-73.98165999999999,Entire home/apt,14,1,2015-08-12,0.02,1,0,215
3905849,3097631,Max,40.7364,-73.98436,Entire home/apt,10,51,2019-07-01,0.86,1,64,120
2887761,14554858,Sara,40.72965,-74.00397,Entire home/apt,5,44,2019-05-25,0.75,1,180,385
36076577,271391063,Bryan,40.76943,-73.95608,Entire home/apt,1,1,2019-06-30,1.0,1,5,165
29221565,68284975,Dio,40.69375,-73.92496,Private room,2,8,2019-06-06,0.97,2,90,66
20757599,80897490,Steven,40.69099,-73.92657,Private room,1,1,2017-09-07,0.04,1,0,50
36281984,45909314,Andrew,40.69807,-73.93466,Private room,1,0,,,1,14,55
3136535,15414317,Madeleine,40.76299,-73.96166,Entire home/apt,5,10,2017-09-23,0.16,1,0,150
34213836,219517861,Sonder (NYC),40.744209999999995,-73.97221,Entire home/apt,29,0,,,327,345,190
21111912,8519823,Mimi,40.708220000000004,-73.95921,Entire home/apt,30,5,2018-08-01,0.24,1,166,350
3400359,16286162,Pat,40.86677,-73.85938,Private room,2,114,2019-06-29,1.87,4,240,49
15494968,728477,Peter,40.72274,-74.00806999999999,Entire home/apt,5,3,2019-06-13,0.33,1,296,375
28047011,70260514,Daphna,40.74588,-73.89721,Private room,4,4,2018-12-14,0.43,1,0,45
9821370,50588394,Alizé,40.82391,-73.93881,Private room,1,28,2018-11-04,0.72,1,364,80
19348139,24806534,Lisa,40.68287,-73.97117,Private room,3,1,2017-07-24,0.04,1,0,130
19381437,22655081,Alan,40.79205,-73.97261999999999,Private room,5,0,,,1,0,45
18108648,124740003,Dani,40.777640000000005,-73.91128,Entire home/apt,3,93,2019-06-21,3.49,1,197,100
23479042,4243971,Jeanne,40.65891,-73.95886999999999,Entire home/apt,2,68,2019-07-05,4.27,2,32,150
3933059,20377328,MaryEllen,40.857490000000006,-73.93258,Entire home/apt,1,4,2015-12-07,0.07,1,0,80
30526105,384595,Adam,40.714220000000005,-73.98808000000001,Entire home/apt,3,8,2019-06-24,1.18,1,163,150
18102867,3632170,Thulinh,40.7124,-73.96263,Entire home/apt,5,0,,,1,0,200
20056846,3841371,Catherine,40.7701,-73.9297,Entire home/apt,2,2,2017-08-26,0.09,1,0,120
30965275,231370569,Sharyn,40.69007,-73.94326,Private room,7,13,2019-06-26,2.39,1,93,40
7842116,30320622,Caitlin,40.64362,-74.00046,Private room,1,0,,,2,0,55
4120122,21373495,Lara,40.7105,-73.9438,Private room,1,113,2019-06-21,3.99,1,308,65
18504631,5828830,Low,40.67365,-73.76501999999999,Private room,7,11,2018-10-03,0.44,2,0,50
19720877,7627586,Sarah,40.693870000000004,-73.99412,Entire home/apt,4,6,2018-12-31,0.27,1,27,299
21633631,21099366,Lauren,40.71223,-73.96025,Entire home/apt,4,5,2019-01-02,0.25,1,0,150
34477538,50364039,Cathy,40.71815,-73.96412,Entire home/apt,2,0,,,3,314,165
22258450,5680111,Timothy,40.68608,-73.91534,Private room,5,23,2019-05-26,1.21,7,112,72
13378410,68600221,Victoria,40.824290000000005,-73.95225,Private room,7,2,2017-06-18,0.05,1,0,54
30756898,137358866,Kazuya,40.74491,-73.90824,Private room,30,1,2019-03-25,0.28,103,247,40
22533436,155810605,Danielle,40.79005,-73.94929,Entire home/apt,4,4,2018-11-08,0.22,2,0,110
35145342,223087887,Jess & Ana,40.74255,-73.86659,Shared room,1,1,2019-06-19,1.0,8,343,29
7116654,7078254,Leila,40.65683,-73.9609,Private room,1,2,2015-09-07,0.04,1,0,45
1515611,8092548,Habib,40.68639,-73.9624,Entire home/apt,3,38,2019-06-25,0.54,1,364,229
17697164,120570941,Genee,40.74817,-73.98210999999999,Entire home/apt,2,5,2017-11-15,0.18,1,0,325
35496813,224558991,Gerry Elizabeth,40.65681,-73.87854,Private room,1,0,,,1,105,31
31183757,1276028,Marcia,40.82865,-73.95069000000001,Private room,3,1,2019-03-29,0.29,2,347,70
263776,1384111,Joanne,40.74558,-73.92324,Private room,2,95,2019-01-02,1.02,2,0,73
6380761,15310997,Mor,40.77643,-73.95085999999999,Entire home/apt,30,3,2018-01-01,0.09,9,353,200
644833,195137,James,40.82312,-73.94971,Entire home/apt,5,108,2019-06-03,1.44,2,318,433
14238574,54986261,David,40.755390000000006,-73.83171999999999,Private room,2,57,2019-05-14,1.64,1,335,75
32666534,23388169,Jessica,40.676159999999996,-73.97009,Entire home/apt,4,3,2019-06-28,1.11,2,82,350
4020957,12876904,Marla,40.67918,-73.95318,Private room,2,1,2015-06-05,0.02,1,0,125
24845976,187822021,Shany,40.7645,-73.9238,Entire home/apt,30,5,2019-03-09,0.37,1,5,120
4848500,6902571,Francesco,40.68886,-73.95212,Entire home/apt,2,6,2018-04-24,0.29,1,0,130
30313903,11815674,Christina,40.66661,-73.95300999999999,Entire home/apt,3,4,2019-06-30,0.63,1,0,125
24820955,28778026,Shahed,40.69401,-73.95692,Private room,1,20,2019-05-25,1.39,2,87,70
32469620,39079982,Mansi,40.7908,-73.94491,Private room,1,6,2019-04-25,1.49,1,0,99
12681868,68907781,Dafni,40.77008,-73.92878,Private room,2,67,2019-06-24,1.76,3,20,58
10041531,50007401,Jessica,40.689679999999996,-73.94833,Private room,2,0,,,1,0,45
17754072,26432133,Danielle,40.76389,-73.87155,Shared room,1,224,2019-07-06,7.96,5,80,38
20557646,59432400,Anna,40.81916,-73.94561999999999,Private room,4,20,2019-01-07,0.9,2,3,50
36455579,257261595,Xiaolan,40.809509999999996,-73.95347,Entire home/apt,1,0,,,1,32,65
602453,2316922,Nat,40.6686,-73.98342,Private room,3,31,2018-08-10,0.5,1,22,65
22810710,22768255,Dixon,40.6986,-73.99322,Entire home/apt,1,17,2018-09-17,0.97,1,0,230
16353458,4229387,Suzanne,40.73475,-73.95543,Entire home/apt,4,4,2019-01-01,0.13,1,0,150
321014,1644452,Erin,40.73294,-73.98281999999999,Entire home/apt,5,18,2018-01-02,0.21,1,0,245
15890023,8330977,Forrest,40.742259999999995,-73.98344,Entire home/apt,2,47,2019-06-14,1.46,1,13,197
27395171,205745676,Liqin,40.75902,-73.82099000000001,Private room,1,30,2019-06-21,2.69,9,189,80
9051763,1283476,Mark,40.68758,-73.94572,Private room,5,14,2019-05-29,0.37,2,216,57
8338312,1854179,Fedor,40.68043,-73.96781,Entire home/apt,5,5,2018-07-15,0.11,1,0,160
17319360,42814202,Irisha,40.74227,-73.78707,Entire home/apt,1,26,2019-07-08,0.9,3,358,90
27803575,50912,Ry,40.67268,-73.96108000000001,Entire home/apt,1,9,2019-06-30,0.99,1,364,190
31878988,30214212,Michael,40.715090000000004,-73.958,Entire home/apt,28,3,2019-05-30,0.9,1,258,100
33996365,219717193,Jessie,40.73431,-73.98167,Private room,5,4,2019-06-15,1.74,2,10,59
22291938,83170219,Hannah,40.7052,-73.94397,Private room,2,1,2018-02-13,0.06,1,0,60
14824160,1319462,Zi Ying,40.71775,-73.99509,Entire home/apt,3,19,2019-06-22,0.56,2,11,199
9185329,17615713,Merrily,40.72697,-73.94712,Entire home/apt,7,19,2019-06-21,0.43,1,21,108
34998955,113723310,Joe,40.74757,-73.98187,Entire home/apt,30,0,,,8,342,150
6104951,815619,Rajesh,40.64685,-73.95,Entire home/apt,30,1,2015-08-25,0.02,1,68,118
18655599,36522433,Zexi,40.694590000000005,-73.98261,Entire home/apt,5,2,2017-08-29,0.08,1,0,130
32466398,219517861,Sonder (NYC),40.74864,-73.97407,Entire home/apt,29,1,2019-05-08,0.48,327,220,169
16018094,69545883,Chayla,40.753809999999994,-73.97125,Private room,2,2,2016-12-09,0.06,12,365,899
65660,320538,Larissa,40.70863,-73.94641,Entire home/apt,4,132,2019-07-07,1.27,1,46,95
2412916,4183222,James,40.68008,-73.99391999999999,Entire home/apt,2,1,2014-06-10,0.02,1,0,180
30349344,144687306,Nutrice,40.65603,-73.9516,Entire home/apt,3,26,2019-07-07,3.53,2,241,150
29213095,214611101,Myra,40.63678,-73.97625,Private room,30,1,2019-06-30,1.0,4,120,40
19247305,22176151,Lianne,40.715759999999996,-73.96084,Entire home/apt,2,5,2017-12-18,0.21,1,0,225
19786915,86892032,Marian,40.65766,-73.72838,Entire home/apt,1,57,2019-07-08,2.41,1,336,60
26311285,178543960,Sergii,40.72177,-73.94166,Shared room,30,3,2019-02-04,0.26,10,312,37
22942669,1398639,Juliet,40.6865,-73.93199,Private room,30,6,2019-05-31,0.58,3,207,25
4449559,23092836,Gary,40.82636,-73.92655,Entire home/apt,30,18,2019-06-02,0.48,1,52,105
19730968,138717905,Luca,40.79626,-73.94429000000001,Private room,2,28,2019-07-03,1.22,1,179,67
28427324,214141672,Monica,40.76466,-73.92730999999999,Private room,1,1,2018-09-19,0.1,1,362,120
16310046,1451269,Angelo,40.70234,-73.92439,Entire home/apt,5,3,2018-11-24,0.1,1,7,140
13881622,80837608,Susan,40.715579999999996,-73.93576999999999,Entire home/apt,3,26,2018-10-22,0.76,1,0,249
21056653,79105834,Leo,40.75571,-73.9338,Private room,1,54,2019-06-22,2.54,9,265,55
26893530,187008191,Isabel,40.83285,-73.92158,Private room,1,43,2019-06-22,3.66,1,205,45
12274662,5606004,Feather,40.70062,-73.92785,Private room,2,9,2018-05-30,0.23,1,0,80
22085782,107955341,Michelle,40.71503,-74.00702,Entire home/apt,2,5,2019-05-06,0.39,1,0,400
14446960,88960729,Chin,40.74321,-73.89988000000001,Entire home/apt,3,169,2019-06-24,4.8,1,302,199
34672846,252836607,Alexis,40.707570000000004,-74.00788,Entire home/apt,2,2,2019-06-22,1.36,1,12,255
20000820,27527984,S,40.69613,-73.90768,Private room,1,2,2017-10-08,0.09,1,0,66
824163,4317067,Kamollio,40.69763,-73.93101999999999,Private room,1,18,2016-10-03,0.35,1,60,42
394235,1970839,Javier,40.74125,-73.98862,Entire home/apt,7,0,,,1,0,350
21528920,14700562,Juli,40.65182,-73.95804,Private room,7,0,,,1,0,39
34255740,141713689,Nawar,40.74475,-74.00108,Entire home/apt,7,3,2019-06-23,2.65,1,13,134
6921004,1544412,Carlota,40.71761,-73.9641,Private room,5,18,2019-05-30,0.4,1,37,90
12358495,16596850,Robby,40.75761,-73.96217,Entire home/apt,1,0,,,1,0,300
6085932,1211856,Kim,40.6586,-73.96104,Private room,3,4,2019-01-01,0.22,1,331,80
15520060,1098809,Michael,40.74244,-73.99781,Entire home/apt,3,41,2019-06-13,1.24,1,1,200
35736834,10690947,Melody,40.687870000000004,-73.90601,Private room,2,0,,,1,20,60
21366188,154705359,Anabell,40.66875,-73.78506,Entire home/apt,1,259,2019-07-07,12.99,1,307,96
8293281,634004,Chris,40.67835,-73.97074,Entire home/apt,2,80,2019-06-24,2.83,1,105,125
36421796,273843157,Matheus,40.731640000000006,-73.95187,Private room,1,0,,,1,199,105
6926686,4667102,Alexia,40.7185,-73.99805,Private room,5,1,2015-08-24,0.02,1,0,95
17893008,39832770,Laura,40.71816,-73.99538000000001,Private room,6,0,,,1,0,90
15798969,58390804,Jen And Lev,40.6459,-73.9642,Entire home/apt,3,64,2019-06-24,2.07,1,277,153
31339600,123672154,Abdes,40.73386,-73.95294,Private room,1,3,2019-02-17,0.5,2,0,70
19806105,69891628,Daniel,40.72838,-73.97943000000001,Entire home/apt,2,29,2019-07-01,1.29,1,58,305
3240518,16395150,Patti,40.68554,-73.98470999999999,Entire home/apt,2,10,2016-09-07,0.18,1,0,265
34997446,16625273,Richard,40.71398,-73.94605,Entire home/apt,2,0,,,3,272,995
12153428,65258815,Mrs. Alabi,40.67409,-73.92607,Private room,2,129,2019-06-26,3.32,2,39,60
36178893,222487531,Andi,40.73061,-73.98409000000001,Entire home/apt,2,0,,,1,109,215
36185385,193345547,Victorine,40.699529999999996,-73.92154000000001,Entire home/apt,1,1,2019-07-07,1.0,2,353,110
31413900,235302401,Kin,40.64373,-74.01351,Private room,1,9,2019-06-21,1.59,3,177,49
9902314,35407948,Steph,40.737390000000005,-73.95568,Private room,1,2,2017-01-01,0.05,1,0,70
27656004,45675260,Victoria,40.69632,-73.9193,Private room,3,5,2018-09-21,0.46,2,0,65
506121,2267153,John,40.7276,-73.98347,Private room,5,451,2019-06-30,5.26,2,13,72
2723019,13934498,Herby,40.6582,-73.95688,Entire home/apt,30,3,2018-03-02,0.08,1,311,90
16756678,50282911,Jeanne,40.69455,-73.91118,Entire home/apt,30,1,2018-02-20,0.06,1,342,197
36267904,242573463,Filipe,40.69684,-73.94256999999999,Private room,2,0,,,7,168,77
35492112,266531875,Willy,40.69403,-73.91991,Entire home/apt,2,3,2019-07-01,3.0,3,343,475
17738174,116746802,Christine,40.74924,-73.75654,Private room,3,29,2019-06-16,1.07,5,96,49
8272327,38465372,Nadege & Charles,40.6869,-73.99741,Entire home/apt,3,38,2019-06-30,0.96,1,135,225
3911453,20260083,Tim,40.79332,-73.94105,Shared room,1,6,2017-09-14,0.21,1,0,45
10650510,25104068,Michael,40.66938,-73.95721999999999,Private room,2,24,2019-06-22,1.79,1,47,50
33719279,254172441,Adi & Naor,40.78034,-73.94861,Private room,1,4,2019-06-09,2.0,1,0,70
13764772,24295412,Shaheen,40.758179999999996,-73.92513000000001,Private room,6,0,,,1,0,30
31231904,203981093,Sunshine,40.68712,-73.91535999999999,Entire home/apt,2,12,2019-06-30,2.55,1,17,100
34384950,107434423,Blueground,40.71663,-74.00647,Entire home/apt,30,0,,,232,235,269
9381449,27499750,Donovan,40.70943,-73.94277,Entire home/apt,1,0,,,1,0,125
19121995,133426665,Patrick,40.61462,-73.92108,Private room,1,68,2019-06-01,2.68,1,333,89
27131137,49786789,Jp,40.86945,-73.92123000000001,Entire home/apt,30,1,2019-03-09,0.25,1,8,106
21353912,6317895,Stephen,40.6785,-73.97542,Entire home/apt,4,1,2018-01-03,0.05,1,0,125
385190,1928213,Brace,40.87039,-73.91611,Private room,1,20,2019-06-06,0.28,1,0,100
826603,4079140,Kat,40.67828,-73.95645999999999,Private room,2,37,2015-11-10,0.52,1,2,100
28074191,71177383,Chris,40.70028,-73.93928000000001,Private room,2,18,2019-07-02,1.8,2,266,78
32484743,180008916,Endazsia,40.68116,-73.94738000000001,Entire home/apt,1,5,2019-05-19,1.23,2,5,400
42882,185978,Newyorkroomwithaview,40.64524,-74.08088000000001,Private room,2,166,2019-06-13,1.66,1,312,70
4294640,21499988,Joey,40.71613,-73.95336,Private room,1,1,2014-10-26,0.02,1,0,56
28606397,9731301,Arq,40.75011,-73.89113,Shared room,1,2,2019-03-31,0.32,1,365,70
5507371,28564535,Emily,40.69129,-73.93338,Private room,1,1,2016-07-29,0.03,1,0,50
19030149,182461,Jose,40.67488,-73.85568,Entire home/apt,3,81,2019-06-30,3.33,2,9,110
32022820,866089,Launa,40.7191,-73.99513,Entire home/apt,3,0,,,3,0,250
19457062,76215404,Jenny,40.68849,-73.9956,Entire home/apt,2,137,2019-07-04,5.78,1,2,125
17295495,6807898,Sam,40.76076,-73.99266,Private room,1,7,2019-06-23,0.24,1,45,110
9089306,5671308,Jordan,40.731640000000006,-73.98454,Entire home/apt,3,10,2016-03-24,0.23,1,0,135
12083016,7226962,John,40.72716,-73.98264,Entire home/apt,4,3,2016-08-26,0.08,1,0,200
25263327,103104686,Evolve,40.67555,-73.77812,Entire home/apt,2,0,,,2,71,125
19329911,45602137,Brette,40.69546,-73.97303000000001,Private room,4,0,,,1,0,65
15559457,100182541,Jill,40.73577,-73.95118000000001,Private room,20,2,2017-05-26,0.07,1,0,50
54626,190409,Waundell,40.83075,-73.93058,Private room,1,138,2019-06-30,1.45,3,323,45
26749730,8654731,Juan,40.70945,-73.95843,Entire home/apt,30,32,2019-04-21,3.06,1,60,289
9577777,1439333,Crystal,40.738659999999996,-74.00063,Entire home/apt,6,79,2019-07-04,1.9,1,81,220
1614869,1254489,Randy,40.67477,-73.97404,Entire home/apt,4,41,2019-06-18,0.58,1,151,142
21450176,121809482,Gina,40.750890000000005,-73.9706,Private room,1,25,2019-01-18,1.27,2,0,145
35710684,143959643,Gispan,40.75284,-73.97088000000001,Entire home/apt,1,0,,,1,310,145
21475999,117365574,Maria,40.7497,-73.99515,Private room,1,113,2019-06-22,5.5,5,292,85
3131756,2213809,Dean,40.68176,-73.92883,Entire home/apt,2,225,2019-06-30,3.7,1,254,149
15099669,95608415,Cory,40.71975,-73.98608,Entire home/apt,1,2,2016-10-20,0.06,1,0,225
4209595,20700823,Jesse,40.73473,-73.99244,Entire home/apt,1,1,2015-01-01,0.02,1,0,225
1398234,6083756,Sara,40.72352,-73.99498,Entire home/apt,30,0,,,1,293,217
633276,1568517,Karl & Catherine,40.74609,-73.94691,Private room,1,165,2019-06-22,1.99,2,50,89
8427638,9036787,Katie,40.80109,-73.97093000000001,Entire home/apt,4,46,2019-05-12,1.02,1,207,190
17465199,3637890,Michael,40.73565,-73.99613000000001,Entire home/apt,7,3,2017-05-28,0.11,1,0,123
35228596,153458126,Fabiana & Christopher,40.74791,-73.97957,Entire home/apt,1,0,,,2,365,400
22152232,10018530,Nicole,40.70328,-73.91429000000001,Private room,2,2,2018-07-19,0.1,1,0,50
28984222,124743046,Mark,40.69025,-73.9559,Entire home/apt,4,29,2019-07-05,3.36,3,205,230
29585551,131476075,Lakisha,40.68581,-73.91176,Private room,1,18,2019-07-03,2.14,8,179,58
839539,3200135,Matt,40.72876,-73.98413000000001,Private room,7,0,,,1,31,80
34752945,262091506,Christian,40.68569,-73.90857,Private room,3,2,2019-07-04,2.0,1,97,50
1683968,274702,Sabina Giovanna,40.711079999999995,-73.96318000000001,Entire home/apt,31,14,2018-08-05,0.2,1,219,224
25961778,697560,Emily,40.65014,-73.94451,Entire home/apt,2,0,,,1,5,100
34908120,66959637,Carmen,40.70358,-73.90864,Private room,7,0,,,2,281,50
14238785,3294438,Torell,40.6853,-73.95758000000001,Shared room,2,10,2017-10-27,0.29,3,311,45
