Date,Daily_min
10/10/81,7.8
11/10/81,6.2
12/10/81,5.6
13/10/81,10
14/10/81,13.3
15/10/81,8.3
16/10/81,10.2
17/10/81,8.6
18/10/81,7.3
19/10/81,10.4
20/10/81,11.2
21/10/81,13.2
22/10/81,11.4
23/10/81,9.1
24/10/81,6.6
25/10/81,8.4
26/10/81,9.7
27/10/81,13.2
28/10/81,12.5
29/10/81,11
30/10/81,11
31/10/81,11.7
1/11/81,9.2
2/11/81,11.5
3/11/81,13.6
4/11/81,13.7
5/11/81,10.4
6/11/81,11.5
7/11/81,7.6
8/11/81,9.6
9/11/81,14.2
10/11/81,15.7
11/11/81,10.5
12/11/81,10.5
13/11/81,9.7
14/11/81,9.5
15/11/81,11.3
16/11/81,8.9
17/11/81,9.4
18/11/81,11.9
19/11/81,11.7
20/11/81,13.4
21/11/81,12.6
22/11/81,10.1
23/11/81,15.8
24/11/81,13.6
25/11/81,11.9
26/11/81,9.9
27/11/81,12.6
28/11/81,17.8
29/11/81,15
30/11/81,13.6
1/12/81,13.4
2/12/81,10.5
3/12/81,14.2
4/12/81,11.5
5/12/81,13
6/12/81,15
7/12/81,14.7
8/12/81,12.6
9/12/81,12.5
10/12/81,13.5
11/12/81,14.8
12/12/81,17.2
13/12/81,9.7
14/12/81,12.1
15/12/81,12.8
16/12/81,11.2
17/12/81,16.4
18/12/81,15.6
19/12/81,13.3
20/12/81,11
21/12/81,11.1
22/12/81,15
23/12/81,12.8
24/12/81,15
25/12/81,14.2
26/12/81,14
27/12/81,15.5
28/12/81,13.3
29/12/81,15.6
30/12/81,15.2
31/12/81,17.4
1/1/82,17
2/1/82,15
3/1/82,13.5
4/1/82,15.2
5/1/82,13
6/1/82,12.5
7/1/82,14.1
8/1/82,14.8
9/1/82,16.2
10/1/82,15.8
11/1/82,19.1
12/1/82,22.2
13/1/82,15.9
14/1/82,13
15/1/82,14.1
16/1/82,15.8
17/1/82,24
18/1/82,18
19/1/82,19.7
20/1/82,25.2
21/1/82,20.5
22/1/82,19.3
23/1/82,15.8
24/1/82,17
25/1/82,18.4
26/1/82,13.3
27/1/82,14.6
28/1/82,12.5
29/1/82,17
30/1/82,17.1
31/1/82,14
1/2/82,14.6
2/2/82,13.3
3/2/82,14.8
4/2/82,15.1
5/2/82,13.1
6/2/82,13.6
7/2/82,19.5
8/2/82,22.7
9/2/82,17.2
10/2/82,13.5
11/2/82,15.4
12/2/82,17
13/2/82,19.2
14/2/82,22.8
15/2/82,26.3
16/2/82,18.2
17/2/82,17
18/2/82,14.8
19/2/82,12.8
20/2/82,15.5
21/2/82,15.6
22/2/82,13.1
23/2/82,15.2
24/2/82,14.1
25/2/82,12.5
26/2/82,14.6
27/2/82,10.4
28/2/82,13.9
1/3/82,11.9
2/3/82,13.5
3/3/82,9.8
4/3/82,14
5/3/82,21.5
6/3/82,19.5
7/3/82,16.7
8/3/82,19.1
9/3/82,11
10/3/82,9
11/3/82,10
12/3/82,14.6
13/3/82,12.5
14/3/82,17.2
15/3/82,19.2
16/3/82,22.2
17/3/82,15.7
18/3/82,14.2
19/3/82,9.8
20/3/82,14
21/3/82,17.5
22/3/82,20.7
23/3/82,15.6
24/3/82,13.2
25/3/82,14.5
26/3/82,16.8
27/3/82,17.2
28/3/82,13.4
29/3/82,14.2
30/3/82,14.3
31/3/82,10.2
1/4/82,10.4
2/4/82,12.3
3/4/82,11.9
4/4/82,11.2
5/4/82,8.5
6/4/82,12
7/4/82,12.4
8/4/82,12.9
9/4/82,10.1
10/4/82,15
11/4/82,13.6
12/4/82,12.4
13/4/82,13.6
14/4/82,16.1
15/4/82,19.5
16/4/82,14.2
17/4/82,9.3
18/4/82,10.1
19/4/82,7.4
20/4/82,8.6
21/4/82,7.8
22/4/82,9.1
23/4/82,13
24/4/82,16.5
25/4/82,12.9
26/4/82,6.9
27/4/82,6.9
28/4/82,8.7
29/4/82,10
30/4/82,10.8
1/5/82,7.5
2/5/82,6.3
3/5/82,11.9
4/5/82,13.8
5/5/82,11.8
6/5/82,11
7/5/82,10.1
8/5/82,8.5
9/5/82,5.5
10/5/82,7.6
11/5/82,8.7
12/5/82,10.8
13/5/82,11.2
14/5/82,9.1
15/5/82,3.7
16/5/82,4.6
17/5/82,6.6
18/5/82,13.2
19/5/82,15.2
20/5/82,7.6
21/5/82,8.4
22/5/82,6
23/5/82,8.3
24/5/82,8.6
25/5/82,11.1
26/5/82,12.1
27/5/82,12.9
28/5/82,14
29/5/82,12.5
30/5/82,11.5
31/5/82,7
1/6/82,7.1
2/6/82,9
3/6/82,3.1
4/6/82,2.5
5/6/82,0
6/6/82,1.6
7/6/82,2.6
8/6/82,5.7
9/6/82,2.3
10/6/82,4.5
11/6/82,8.2
12/6/82,6.9
13/6/82,7.3
14/6/82,6
15/6/82,7.3
16/6/82,7.6
17/6/82,8
18/6/82,8
19/6/82,6.8
20/6/82,7.3
21/6/82,6.2
22/6/82,6.9
23/6/82,8.9
24/6/82,4
25/6/82,1.3
26/6/82,0.8
27/6/82,4.3
28/6/82,7.3
29/6/82,7.7
30/6/82,9
1/7/82,4.2
2/7/82,1.6
3/7/82,2.6
4/7/82,3.4
5/7/82,3.9
6/7/82,7
7/7/82,7.8
8/7/82,5.3
9/7/82,2.4
10/7/82,2.8
11/7/82,4
12/7/82,7.5
13/7/82,7.8
14/7/82,5.6
15/7/82,3.3
16/7/82,5
17/7/82,3.7
18/7/82,3.9
19/7/82,5.2
20/7/82,0.2
21/7/82,0.8
22/7/82,0.9
23/7/82,3.5
24/7/82,6.6
25/7/82,9.5
26/7/82,9
27/7/82,3.5
28/7/82,4.5
29/7/82,5.7
30/7/82,5.6
31/7/82,7.1
1/8/82,9.7
2/8/82,8.3
3/8/82,9.1
4/8/82,2.8
5/8/82,2.2
6/8/82,4.5
7/8/82,3.8
8/8/82,3.8
9/8/82,6.2
10/8/82,11.5
11/8/82,10.2
12/8/82,7.9
13/8/82,9
14/8/82,9.5
15/8/82,6
16/8/82,8.2
17/8/82,9.2
18/8/82,4.3
19/8/82,6.6
20/8/82,9.4
21/8/82,13.2
22/8/82,6.6
23/8/82,5.1
24/8/82,12.1
25/8/82,11.2
26/8/82,8.5
27/8/82,4.6
28/8/82,7
29/8/82,14.2
30/8/82,12.7
31/8/82,7.6
1/9/82,4
2/9/82,10
3/9/82,10.5
4/9/82,5
5/9/82,4.5
6/9/82,8.2
7/9/82,4.3
8/9/82,9.8
9/9/82,5.8
10/9/82,5
11/9/82,8.5
12/9/82,9
13/9/82,3.6
14/9/82,6.7
15/9/82,6.7
16/9/82,10.1
17/9/82,15
18/9/82,8.9
19/9/82,5.7
20/9/82,4.2
21/9/82,4
22/9/82,5.3
23/9/82,6.3
24/9/82,8.5
25/9/82,11.5
26/9/82,7.7
27/9/82,9.2
28/9/82,7.8
29/9/82,6.3
30/9/82,6.3
1/10/82,8.6
2/10/82,6.1
3/10/82,13.2
4/10/82,9.9
5/10/82,4.7
6/10/82,5.8
7/10/82,14.9
8/10/82,10.7
9/10/82,8.6
10/10/82,9.4
11/10/82,5.7
12/10/82,10.9
13/10/82,13.1
14/10/82,10.4
15/10/82,8.2
16/10/82,9.8
17/10/82,7.5
18/10/82,5.8
19/10/82,9.8
20/10/82,7.9
21/10/82,8.7
22/10/82,10
23/10/82,10.6
24/10/82,8
25/10/82,10.2
26/10/82,15.1
27/10/82,13.9
28/10/82,9.2
29/10/82,9
30/10/82,13.2
31/10/82,7
1/11/82,10.6
2/11/82,6.9
3/11/82,9.5
4/11/82,12.5
5/11/82,13.6
6/11/82,17.7
7/11/82,16
8/11/82,11.3
9/11/82,10.5
10/11/82,14.4
11/11/82,10.3
12/11/82,9
13/11/82,11.1
14/11/82,14.5
15/11/82,18
16/11/82,12.8
17/11/82,10.7
18/11/82,9.1
19/11/82,8.7
20/11/82,12.4
21/11/82,12.6
22/11/82,10.3
23/11/82,13.7
24/11/82,16
25/11/82,15.8
26/11/82,12.1
27/11/82,12.5
28/11/82,12.2
29/11/82,13.7
30/11/82,16.1
1/12/82,15.5
2/12/82,10.3
3/12/82,10.5
4/12/82,11
5/12/82,11.9
6/12/82,13
7/12/82,12.2
8/12/82,10.6
9/12/82,13
10/12/82,13
11/12/82,12.2
12/12/82,12.6
13/12/82,18.7
14/12/82,15.2
15/12/82,15.3
16/12/82,13.9
17/12/82,15.8
18/12/82,13
19/12/82,13
20/12/82,13.7
21/12/82,12
22/12/82,10.8
23/12/82,15.6
24/12/82,15.3
25/12/82,13.9
26/12/82,13
27/12/82,15.3
28/12/82,16.3
29/12/82,15.8
30/12/82,17.7
31/12/82,16.3
1/1/83,18.4
2/1/83,15
3/1/83,10.9
4/1/83,11.4
5/1/83,14.8
6/1/83,12.1
7/1/83,12.8
8/1/83,16.2
9/1/83,15.5
10/1/83,13
11/1/83,10.5
12/1/83,9.1
13/1/83,10.5
14/1/83,11.8
15/1/83,12.7
16/1/83,12.7
17/1/83,11.5
18/1/83,13.8
19/1/83,13.3
20/1/83,11.6
21/1/83,15.4
22/1/83,12.4
23/1/83,16.9
24/1/83,14.7
25/1/83,10.6
26/1/83,15.6
27/1/83,10.7
28/1/83,12.6
29/1/83,13.8
30/1/83,14.3
31/1/83,14
1/2/83,18.1
2/2/83,17.3
3/2/83,13
4/2/83,16
5/2/83,14.9
6/2/83,16.2
7/2/83,20.3
8/2/83,22.5
9/2/83,17.2
10/2/83,15.9
11/2/83,16.8
12/2/83,13.8
13/2/83,12.8
14/2/83,14
15/2/83,17.5
16/2/83,21.5
17/2/83,16.8
18/2/83,13.6
19/2/83,14.5
20/2/83,14.2
21/2/83,15.7
22/2/83,19.7
23/2/83,17.4
24/2/83,14.4
25/2/83,16.9
26/2/83,19.1
27/2/83,20.4
28/2/83,20.1
1/3/83,19.9
2/3/83,22
3/3/83,20.5
4/3/83,22.1
5/3/83,20.6
6/3/83,15
7/3/83,20.6
8/3/83,21.5
9/3/83,16.2
10/3/83,14.1
11/3/83,14.5
12/3/83,21.1
13/3/83,15.9
14/3/83,15.2
15/3/83,13.1
16/3/83,13.2
17/3/83,12.5
18/3/83,15.2
19/3/83,17.6
20/3/83,15.5
21/3/83,16.7
22/3/83,16.3
23/3/83,15.1
24/3/83,12.7
25/3/83,10
26/3/83,11.4
27/3/83,12.6
28/3/83,10.7
29/3/83,10
30/3/83,13.9
31/3/83,13.4
1/4/83,12.5
2/4/83,12.8
3/4/83,7.8
4/4/83,11.1
5/4/83,10.7
6/4/83,7.1
7/4/83,6.7
8/4/83,5.7
9/4/83,9.1
10/4/83,15.2
11/4/83,15.5
12/4/83,11.1
13/4/83,11.7
14/4/83,11.5
15/4/83,9.8
16/4/83,6.2
17/4/83,6.7
18/4/83,7.5
19/4/83,8.8
20/4/83,8
21/4/83,10.4
22/4/83,14.5
23/4/83,16.5
24/4/83,14.1
25/4/83,10.5
26/4/83,12.6
27/4/83,13
28/4/83,8.7
29/4/83,10.1
30/4/83,12
1/5/83,12.5
2/5/83,13.5
3/5/83,13.7
4/5/83,13.5
5/5/83,10.7
6/5/83,13
7/5/83,11.6
8/5/83,13
9/5/83,11.2
10/5/83,13.5
11/5/83,12.9
12/5/83,6.8
13/5/83,10
14/5/83,14.5
15/5/83,11.7
16/5/83,6.7
17/5/83,4.6
18/5/83,4.9
19/5/83,7.4
20/5/83,8.3
21/5/83,7.5
22/5/83,6.2
23/5/83,7.8
24/5/83,13.2
25/5/83,11.9
26/5/83,6.5
27/5/83,8.3
28/5/83,12.1
29/5/83,9.3
30/5/83,7.5
31/5/83,9.3
1/6/83,11
2/6/83,10.8
3/6/83,5.3
4/6/83,7.6
5/6/83,5.6
6/6/83,7.2
7/6/83,9.6
8/6/83,7
9/6/83,8.3
10/6/83,7.8
11/6/83,4.7
12/6/83,6.8
13/6/83,7.2
14/6/83,8.3
15/6/83,9.5
16/6/83,4.7
17/6/83,3
18/6/83,1.5
19/6/83,2.5
20/6/83,6.2
21/6/83,11.6
22/6/83,6.6
23/6/83,6.6
24/6/83,8
25/6/83,7.9
26/6/83,3.3
27/6/83,3.9
28/6/83,6
29/6/83,4
30/6/83,5.5
1/7/83,8.5
2/7/83,9.8
3/7/83,9.5
4/7/83,7.2
5/7/83,8.1
6/7/83,8
7/7/83,8.5
8/7/83,8.8
9/7/83,8.3
10/7/83,2.4
11/7/83,4.9
12/7/83,5.9
13/7/83,6.7
14/7/83,8.4
15/7/83,6.5
16/7/83,7.9
17/7/83,4.1
18/7/83,5.4
19/7/83,7.5
20/7/83,3.9
21/7/83,2.5
22/7/83,5.3
23/7/83,6.6
24/7/83,0
25/7/83,0.7
26/7/83,7.6
27/7/83,12.3
28/7/83,9.2
29/7/83,9.6
30/7/83,9.5
31/7/83,10
1/8/83,7.7
2/8/83,8
3/8/83,8.3
4/8/83,8.3
5/8/83,4.5
6/8/83,6.5
7/8/83,9.4
8/8/83,9.4
9/8/83,10.5
10/8/83,10.7
11/8/83,9.9
12/8/83,7.6
13/8/83,5.8
14/8/83,8.5
15/8/83,13.8
16/8/83,14.3
17/8/83,8.3
18/8/83,5.3
19/8/83,3
20/8/83,5.2
21/8/83,10.3
22/8/83,11.1
23/8/83,10.5
24/8/83,9
25/8/83,13
26/8/83,6.4
27/8/83,8.4
28/8/83,6.7
29/8/83,8.3
30/8/83,11.2
31/8/83,10
1/9/83,10.1
2/9/83,10.6
3/9/83,10.9
4/9/83,5.7
5/9/83,9.5
6/9/83,10.4
7/9/83,11.1
8/9/83,12.2
9/9/83,10.6
10/9/83,8.8
11/9/83,9.2
12/9/83,5.5
13/9/83,7.1
14/9/83,6.5
15/9/83,4.3
16/9/83,5
17/9/83,11.2
18/9/83,7.5
19/9/83,12
20/9/83,13.6
21/9/83,8.3
22/9/83,8.5
23/9/83,12.9
24/9/83,7.7
25/9/83,7.6
26/9/83,3.5
27/9/83,10.4
28/9/83,15.4
29/9/83,10.6
30/9/83,9.6
1/10/83,9.3
2/10/83,13.9
3/10/83,7.7
4/10/83,9.5
5/10/83,7.6
6/10/83,6.9
7/10/83,6.8
8/10/83,5.8
9/10/83,6
10/10/83,8.3
11/10/83,9.1
12/10/83,12.5
13/10/83,13.2
14/10/83,16.2
15/10/83,12.5
16/10/83,11.8
17/10/83,10.6
18/10/83,10
19/10/83,12.2
20/10/83,8.9
21/10/83,10.3
22/10/83,7.5
23/10/83,11.6
24/10/83,12.6
25/10/83,12.9
26/10/83,11.7
27/10/83,14
28/10/83,12.3
29/10/83,9
30/10/83,9.2
31/10/83,9.8
1/11/83,11.8
2/11/83,10.6
3/11/83,12.6
4/11/83,11
5/11/83,8.2
6/11/83,7.5
7/11/83,13.6
8/11/83,14.8
9/11/83,10.9
10/11/83,7.7
11/11/83,10.2
12/11/83,10.8
13/11/83,10.8
14/11/83,12.5
15/11/83,13.2
16/11/83,8.7
17/11/83,5.7
18/11/83,9.8
19/11/83,7.3
20/11/83,10.8
21/11/83,10
22/11/83,16.2
23/11/83,15
24/11/83,14.5
25/11/83,15.9
26/11/83,14.9
27/11/83,14.2
28/11/83,15.8
29/11/83,17.2
30/11/83,17.6
1/12/83,12.1
2/12/83,11.4
3/12/83,13
4/12/83,13.2
5/12/83,12
6/12/83,15.3
7/12/83,12.7
8/12/83,12.1
9/12/83,13.8
10/12/83,10.9
11/12/83,12
12/12/83,16.5
13/12/83,15
14/12/83,11.2
15/12/83,13.9
16/12/83,15
17/12/83,14.8
18/12/83,15
19/12/83,13.3
20/12/83,20.4
21/12/83,18
22/12/83,12.2
23/12/83,16.7
24/12/83,13.8
25/12/83,17.5
26/12/83,15
27/12/83,13.9
28/12/83,11.1
29/12/83,16.1
30/12/83,20.4
31/12/83,18
1/1/84,19.5
2/1/84,17.1
3/1/84,17.1
4/1/84,12
5/1/84,11
6/1/84,16.3
7/1/84,16.1
8/1/84,13
9/1/84,13.4
10/1/84,15.2
11/1/84,12.5
12/1/84,14.3
13/1/84,16.5
14/1/84,18.6
15/1/84,18
16/1/84,18.2
17/1/84,11.4
18/1/84,11.9
19/1/84,12.2
20/1/84,14.8
21/1/84,13.1
22/1/84,12.7
23/1/84,10.5
24/1/84,13.8
25/1/84,18.8
26/1/84,13.9
27/1/84,11.2
28/1/84,10.6
29/1/84,14.7
30/1/84,13.1
31/1/84,12.1
1/2/84,14.7
2/2/84,11.1
3/2/84,13
4/2/84,15.6
5/2/84,14.2
6/2/84,15.5
7/2/84,18
8/2/84,15
9/2/84,15.9
10/2/84,15.5
11/2/84,15.8
12/2/84,16.6
13/2/84,13.6
14/2/84,13.8
15/2/84,14.6
16/2/84,15.6
17/2/84,16.6
18/2/84,14.3
19/2/84,16.3
20/2/84,18.9
21/2/84,18.7
22/2/84,14.5
23/2/84,16.5
24/2/84,14.1
25/2/84,13.5
26/2/84,11.7
27/2/84,15.1
28/2/84,11.2
29/2/84,13.5
1/3/84,12.6
2/3/84,8.8
3/3/84,10.5
4/3/84,12.1
5/3/84,14.5
6/3/84,19.5
7/3/84,14
8/3/84,13.8
9/3/84,10.5
10/3/84,13.8
11/3/84,11.4
12/3/84,15.6
13/3/84,11.1
14/3/84,12.1
15/3/84,14.2
16/3/84,10.9
17/3/84,14.2
18/3/84,13.8
19/3/84,15.1
20/3/84,14
21/3/84,12.1
22/3/84,13.8
23/3/84,16.6
24/3/84,17.8
25/3/84,9.4
26/3/84,10.2
27/3/84,7.4
28/3/84,8.7
29/3/84,14
30/3/84,15.3
31/3/84,11.1
1/4/84,9.7
2/4/84,10.3
3/4/84,9.2
4/4/84,8.2
5/4/84,9.7
6/4/84,12.4
7/4/84,12.5
8/4/84,9
9/4/84,9.7
10/4/84,10.1
11/4/84,11.2
12/4/84,12
13/4/84,11.1
14/4/84,10.8
15/4/84,12.8
16/4/84,9.8
17/4/84,13.7
18/4/84,11
19/4/84,13.2
20/4/84,13
21/4/84,10.2
22/4/84,13.2
23/4/84,9.3
24/4/84,11.1
25/4/84,10.3
26/4/84,8.7
27/4/84,11.7
28/4/84,12.5
29/4/84,6.5
30/4/84,9.6
1/5/84,13.8
2/5/84,14.7
3/5/84,9.1
4/5/84,4.8
5/5/84,3.3
6/5/84,3.5
7/5/84,5.7
8/5/84,5.5
9/5/84,7
10/5/84,9.5
11/5/84,9.9
12/5/84,4.9
13/5/84,6.3
14/5/84,4.8
15/5/84,6.2
16/5/84,7.1
17/5/84,7.5
18/5/84,9.4
19/5/84,8.7
20/5/84,9.5
21/5/84,12.1
22/5/84,9.5
23/5/84,9.3
24/5/84,8.5
25/5/84,8
26/5/84,9.8
27/5/84,6.2
28/5/84,7.3
29/5/84,10.9
30/5/84,10
31/5/84,8.7
1/6/84,9
2/6/84,10.8
3/6/84,12.4
4/6/84,7.2
5/6/84,7.2
6/6/84,11.1
7/6/84,9.3
8/6/84,10.1
9/6/84,3.9
10/6/84,5
11/6/84,8.2
12/6/84,2.8
13/6/84,4.3
14/6/84,8.1
15/6/84,11.1
16/6/84,4.7
17/6/84,5.3
18/6/84,10
19/6/84,5.6
20/6/84,2.2
21/6/84,7.1
22/6/84,8.3
23/6/84,8.6
24/6/84,10.1
25/6/84,8.3
26/6/84,7.2
27/6/84,7.7
28/6/84,7.8
29/6/84,9.1
30/6/84,9.4
1/7/84,7.8
2/7/84,2.6
3/7/84,2.4
4/7/84,3.9
5/7/84,1.3
6/7/84,2.1
7/7/84,7.4
8/7/84,7.2
9/7/84,8.8
10/7/84,8.9
11/7/84,8.8
12/7/84,8
13/7/84,0.7
14/7/84,0.1
15/7/84,0.9
16/7/84,7.8
17/7/84,7.2
18/7/84,8
19/7/84,4.6
20/7/84,5.2
21/7/84,5.8
22/7/84,6.8
23/7/84,8.1
24/7/84,7.5
25/7/84,5.4
26/7/84,4.6
27/7/84,6.4
28/7/84,9.7
29/7/84,7
30/7/84,10
31/7/84,10.6
1/8/84,11.5
2/8/84,10.2
3/8/84,11.1
4/8/84,11
5/8/84,8.9
6/8/84,9.9
7/8/84,11.7
8/8/84,11.6
9/8/84,9
10/8/84,6.3
11/8/84,8.7
12/8/84,8.5
13/8/84,8.5
14/8/84,8
15/8/84,6
16/8/84,8
17/8/84,8.5
18/8/84,7.7
19/8/84,8.4
20/8/84,9
21/8/84,8.3
22/8/84,6.8
23/8/84,9.3
24/8/84,6.7
25/8/84,9
26/8/84,7.3
27/8/84,6.3
28/8/84,7.9
29/8/84,5.2
30/8/84,9
31/8/84,11.3
1/9/84,9.2
2/9/84,11.3
3/9/84,7
4/9/84,8
5/9/84,4.6
6/9/84,8.5
7/9/84,9.5
8/9/84,9.4
9/9/84,10.5
10/9/84,9.7
11/9/84,4.9
12/9/84,8
13/9/84,5.8
14/9/84,5.5
15/9/84,10.9
16/9/84,11.7
17/9/84,9.2
18/9/84,8.9
19/9/84,11.3
20/9/84,8.6
21/9/84,6.2
22/9/84,6.6
23/9/84,9.1
24/9/84,6.1
25/9/84,7.5
26/9/84,10.7
27/9/84,6.3
28/9/84,5.5
29/9/84,6.7
30/9/84,4.2
1/10/84,11.3
2/10/84,16.3
3/10/84,10.5
4/10/84,10.3
5/10/84,7.9
6/10/84,7.7
7/10/84,16
8/10/84,14.6
9/10/84,12.5
10/10/84,8.1
11/10/84,12.2
12/10/84,17.2
13/10/84,9.4
14/10/84,8.7
15/10/84,5.9
16/10/84,4.8
17/10/84,7.4
18/10/84,9.4
19/10/84,9.7
20/10/84,9.9
21/10/84,6.5
22/10/84,9.8
23/10/84,18.2
24/10/84,11.3
25/10/84,9.1
26/10/84,9.6
27/10/84,13.5
28/10/84,10.7
29/10/84,10
30/10/84,8.5
31/10/84,12.6
1/11/84,16.6
2/11/84,11.6
3/11/84,12.2
4/11/84,11.2
5/11/84,9.2
6/11/84,9.9
7/11/84,11.9
8/11/84,15.6
9/11/84,19
10/11/84,12.8
11/11/84,12.2
12/11/84,12
13/11/84,11.1
14/11/84,11.8
15/11/84,7.6
16/11/84,13
17/11/84,12.7
18/11/84,16
19/11/84,14.8
20/11/84,14.2
21/11/84,10
22/11/84,8.8
23/11/84,11.6
24/11/84,8.6
25/11/84,14.6
26/11/84,24.3
27/11/84,11.6
28/11/84,10.8
29/11/84,12
30/11/84,11
1/12/84,12.6
2/12/84,10.8
3/12/84,9.1
4/12/84,11
5/12/84,13
6/12/84,12.8
7/12/84,9.9
8/12/84,11.6
9/12/84,10.5
10/12/84,15.9
11/12/84,12.2
12/12/84,13
13/12/84,12.5
14/12/84,12.5
15/12/84,11.4
16/12/84,12.1
17/12/84,16.8
18/12/84,12.1
19/12/84,11.3
20/12/84,10.4
21/12/84,14.2
22/12/84,11.4
23/12/84,13.7
24/12/84,16.5
25/12/84,12.8
26/12/84,12.2
27/12/84,12
28/12/84,12.6
29/12/84,16
30/12/84,16.4
1/1/85,13.3
2/1/85,15.2
3/1/85,13.1
4/1/85,12.7
5/1/85,14.6
6/1/85,11
7/1/85,13.2
